rom_id,rom_value,uses,map_to,review
1, Wd,0,,
2,Wabash,138,Wabash,
3,Pine,17,Pines,REVIEW: same as PINES (id 53)?
4,Strick,13,Strick,
5,Trailmobile,37,Trailmobile,
6,Fruehauf,26,Fruehauf,
7,Hyundai,4322,Hyundai,
8,Stoughton,2700,Stoughton,
9,Monon,125,Monon,
10,Great Dane,1226,Great Dane,
11,kentucky,848,Kentucky,
13,international,97,International,
14,dorsey,98,Dorsey,
15,kwik loc,11,Kwik-Load,REVIEW: confirm canonical spelling — Kwik-Load vs Kwik Loc
16,budd,4,Budd,
17,Kwic Loc,1,Kwik-Load,
18,peterbuilt,2,Peterbilt,
19,kwik lock,1,Kwik-Load,
20,Kwik Lok,1,Kwik-Load,
21,Trailermobile,12,Trailmobile,
22,ST,2,,REVIEW: abbreviation — Stoughton? Strick?
23,WA,4,,REVIEW: abbreviation — Wabash?
24,PI,1,,REVIEW: abbreviation — Pines?
25,Wabash National ,2,Wabash,
26, Hyundai,5,Hyundai,
27,Make,0,,
28,Kwick Loc,1,Kwik-Load,
29,?,0,,
30,Freightliner,61,Freightliner,
31,-,1,,
32,Utility,1,Utility,
33,Hobbs,1,Hobbs,
34,Autocar,1,Autocar,
35,Silver Eagle,0,Silver Eagle,
36,922,1,,
37,Copco,1,Copco,
38,1GB3G4CG3E1199771,0,,
39,Chevrolet,3,Chevrolet,
40,Ram,5,Ram,
41,Ford,3,Ford,
42,Kiwk Loc,1,Kwik-Load,
43,Mercedes-Benz,0,Mercedes-Benz,
45,1DW1A28147S986961,0,,
46,Frightliner,1,Freightliner,
47,Vanguard,4,Vanguard,
48,3H3V281C43T033276,0,,
49,CIMC,0,CIMC,
50,,0,,
51,Phoenix Modular,2,Phoenix Modular,
52,PFS,1,PFS,
53,PINES,24,Pines,
54,Kalmar-Ottawa,14,Kalmar-Ottawa,
55,Peterbilt,1,Peterbilt,
56,unknown,0,,
57,Frieghtliner,3,Freightliner,
58,Capacity,0,Capacity,
