rom_id,rom_value,uses,map_to,review
1,53,4758,Long Straight Rail,
2,48,664,Long Straight Rail,
3,28,5772,Drop Frame Pup,REVIEW: 5772 units. Plain "28" — drop frame or straight rail pup? 28df exists separately but has only 2 uses
4,dolly,2197,Converter Dolly,
5,Other,149,,REVIEW: 149 units with no type
6,28df,2,Drop Frame Pup,
7,45,41,Long Straight Rail,
8,107,0,,
9,185,0,,
10,190,0,,
11,156,0,,
12,55,0,,
13,0.01,0,,
14,457,0,,
15,7,0,,
16,116,0,,
17,170,0,,
18,182,0,,
19,150,0,,
20,305,0,,
21,20,3,Steel Container,REVIEW: guessing 20' container
22,175,0,,
23,251,0,,
24,262,0,,
25,366,0,,
26,57,1,,
27,80,0,,
28,31,0,,
29,412,0,,
30,switcher,30,Switcher,
31,7048-48TRAIL,0,Long Straight Rail,
32,7054-53SR,0,Long Straight Rail,
34,Type,1,,
36,7055,9,,REVIEW: item code 7055 — which type?
37,50,2,Long Straight Rail,
38,30,4,,REVIEW: 30' — pup?
39,40,17,Long Straight Rail,REVIEW: 40' trailer or container?
40,Tractor,135,Tractor,
41,53SR,320,Long Straight Rail,
42,48SR,19,Long Straight Rail,
43,7703,79,Steel Container,REVIEW: item code 7703 = 53' steel container?
45,7703-53STCON,0,Steel Container,
47,Hyundai,1,,
48,92,1,,
49,62,5,,
50,64,1,,
51,68,1,,
52,27,1,,
53,38,1,,
54,85,1,,
55,18,3,,
56,81,1,,
57,43,7,,
58,61,6,,
59,29,1,,
60,63,1,,
61,32,1,,
62,42,3,,
63,1,1,,
64,Van,12,,REVIEW: 12 vans — new equipment type or skip?
65,Sprinter Van,0,,
66,Rush Location,72,,REVIEW: 72 units polluted with this — type unknown
67,,1105,,REVIEW: 1105 units with blank size
68,Has scrap metal on it,7,,
69,755,0,,
70,No Title,3,,
71,Chassis,0,Chassis,
72,Compup,3,Composite,REVIEW: composite pup?
73,33,368,Straight Rail Pup,REVIEW: 368 units at 33' — which pup type?
74,54,0,Long Straight Rail,
75,SWITCH,0,Switcher,
